,location
193,"Mid-Atlantic, USA"
194,"Balaclava, Melbourne"
195,chicago
196,Ride or die
197,NARnia
198,Everywhere you want to be.
199,"Oklahoma, USA"
200,Malaysia
201,ㅤㅤㅤㅤ
202,World Wide
203,TEXAS
204,she/her/hers
205,chicago
206,"Santa Fe, NM"
207,Oak Harbor WA
208,United States
209,"Skaneateles, NY"
210,PG
211,"Dallas, Texas, USA"
212,"Tucson, AZ"
213,U.S.A.
214,Coastal Elite 
215,OLY
216,trans
217,"Hamilton, Ontario"
218,Canada
219,"Brooklyn, NY (they/them only)"
220,"Missouri, USA"
221,"Bethel Park, PA"
222,JP
223,"Savannah, GA "
224,Closer than you'd imagine
225,Sebelahnya galaksi bimasakti
226,"Michigan, USA"
227,"Atlanta, GA"
228,"Texas, USA"
229,Australia
230,Kentucky
231,Ride or die
232,"New Brunswick, Canada"
233,CT River Valley USA
234,215
235,Canada
236,US
237,Los Angeles/ Ibiza / Germany/
238,World
239,"Mesa, Arizona (USA)"
240,"Rancho Cucamonga, CA"
241,AZ
242,"Moreno Valley, CA"
243,Global Village
244,US
245,"DeKalb, IL"
246,Los Angeles
247,College Station | HTX 
248,"Toronto, Ontario"
249,"Rancho Cucamonga, CA"
250,"California, USA"
251,"Bowling Green, KY"
252,New York City
253,"Washington, USA"
254,US
255,"San Francisco, CA"
256,illinois
257,"Las Vegas, NV"
258,"Rochester, MN"
259,"Fresno, CA"
260,"Pennsylvania, USA"
261,"Russellville, Alabama"
262,"Alpharetta, GA"
263,in a fictional land
264,That “Dangerous” Neighborhood
265,"41,000 ft"
266,San Francisco
267,Western North Carolina
268,"St Louis, Missouri"
269,Republic of Maharlika
270,w
271,"Barnstable Town, MA"
272,bay area
273,"Washington, USA"
274,"Texas, USA"
275,"Georgia, USA"
276,"Los Angeles, CA"
277,"Tampa, FL"
278,"Coquitlam, British Columbia"
279,kileysmileyk@gmail.com
280,"Chicago, IL"
281,United States
282,"Washington, DC"
283,"North Dakota, USA"
284,US
285,"Nashville, TN"
286,"Davis, CA"
287,"Wrightwood, CA"
288,NJ | NYC | Paris | SF | WY
289,"Lima, Peru"
290,USA
291,US
292,"Charlotte, NC"
293,US
294,"San Diego, CA"
295,"North Carolina, USA"
296,"Paramount, CA"
297,"Atlanta, Georgia"
298,"West Virginia, USA"
299,Texas
300,"Toronto, Ontario"
301,"Barnstable Town, MA"
302,"Chicago, IL"
303,Still Above Ground
304,U.S.A.
305,God's country= The USofA   
306,Florida☀️
307,Minneapolis
308,"Salt Lake City, Utah"
309,United States
310,US
311,"Victoria, British Columbia"
312,"Toronto, Ontario"
313,"Canandaigua, NY"
314,Malaysia & Singapore
315,"Louisiana, New Orleans"
316,United States
317,US
318,"Baltimore, MD"
319,"in Florence, Italy ❤️💙💜💚💛"
320,"California, USA"
321,US
322,Houston
323,"Indiana, USA"
324,"Tempe, AZ"
325,United States🇺🇸🇺🇸🇺🇸
326,"Tempe, AZ"
327,New York
328,"Tucson, AZ"
329,US
330,K’jipuktuk/Halifax 
331,"Colorado Springs, CO"
332,Chandigarh
333,"Butuan City, Caraga"
334,Virginia
335,selangor-perak-pahang
336,MY
337,The great white north...
338,US
339,"Edmonds, WA"
340,Arizona 
341,United States
342,"Chicago, IL"
343,"Indianapolis, IN"
344,U.S.A.
345,"Goiânia, Goiás, Brazil"
346,"Tempe, AZ"
347,"Atlanta, GA"
348,"California, USA"
349,"berlin, germany"
350,"San Marcos, TX"
351,"Illinois, USA"
352,"State College, PA"
353,"East Region, Singapore"
354,"New York, NY"
355,HydroMolecularMed 993 120-5833
356,"Normal, IL"
357,Etx
358,nj / bos
359,"Windsor,Ontario"
360,"California, USA"
361,United States
362, 
363,uiowa
364,"Alabama, USA"
365,"North Carolina, USA"
366,#YEG
367,"Pug Town, USA"
368,United States
369,"41,000 ft"
370,"Tempe, AZ"
371,"Santa Fe, NM"
372,Troy
373,"Texas, USA"
374,"Raleigh, NC"
375,America
376,Best Coast
377,"North Chesterfield, VA"
378,"Gilbert, AZ"
379,"Kensington, Maryland 20895"
380,"Elizabeth City, NC"
381,"Ohio, USA"
382,Canada
383,"Fair Haven, MI"
384,"Fort Worth, TX"
385,"Maui, HI"
386,"Florida, USA"
387,United States
388,US
389,"Fargo, ND"
390,Michigan
391,"Aledo, IL"
392,US
393,United States
394,"Portland, OR"
395,Canada
396,"Coloma, MI"
397,"Austin, TX"
398,"Athens, GA  + Franklin, TN"
399,a Chinese buffet...probably
400,US
401,"Arlington, TX"
402,"Laurinburg, NC"
403,London ON
404,270✈️317 
405,"Arkansas, USA"
406,"Buffalo, NY"
407,stream trench
408,"Rochester, NY"
409,New York
410,"chicago,il"
411,"Doaneland, USA"
412,TX
413,Brooklyn NY
414,"Georgia, USA"
415,Location is an illusion
416, alberta 🇨🇦
417,"Sydney, New South Wales"
418,"Ottawa, Ontario, Canada"
419,"Atlanta, GA"
420,"aviano, italy // mercedes, tx"
421,"Ulu Kelang, Selangor"
422,Detroit
423,"Wrightwood, CA"
424,"osaka, jp"
425,Los Angeles
426,"Clearfield, UT"
427,"Texas, USA"
428,WNY
429,"Ottawa, Ontario, Canada"
430,"Mississauga, Ontario"
431,Boston adjacent
432,"New Jersey, USA"
433,"Elizabeth, NJ"
434,New Zealand
435,United States
436,in another atmosphere 
437,Kuantan
438,"Tennessee, USA"
439,"Chetwynd, British Columbia. "
440,she/her they/them
441,Indonesia
442,East of Mississippi
443,jersey
444,Utopia
445,"Salt Lake City, UT"
446,Middle East
447,"Saint John, NB"
448,"Louisville, Ky"
449,"41° 50′ 43″ N, 71° 35′ 28″ W"
450,"Salt Lake City, Utah"
451,he/him
452,"Texas, USA"
453,www.lauralarue.com
454,Canada
455,"Georgia, USA"
456,"Nebraska, USA"
457,idaho
458,"Tucson, AZ"
459,"Kjipuktuk/Dartmouth, NS"
460,Shah Alam
461,"Boston, MA"
462,"Portland, OR"
463,"Englewood,Colorado"
464,"Woodbridge, VA USA"
465,lexington ky
466,"Boston, MA"
467,Indianapolis//Paris/NYC
468,"Norristown, PA"
469,"California, USA"
470,"Florida, USA"
471,Come on Feel the Illinoise
472,California
473,United States
474,"Virginia, USA"
475,"Texas, USA"
476,"Central Okanagan, British Columbia"
477,"Wrightwood, CA"
478,Texas
479,"Tucson, Arizona "
480,"Manhattan, NY 🗽"
481,Chicago area
482,"Denver, Colorado"
483,United States
484,"Texas, USA"
485,"Webster, NY"
486,"Lubbock, TX"
487,"Salt Lake City, UT"
488,US
489,Federated States of Micronesia
490,Chicago area
491,"Indiana, USA"
492,Houston
493,"Toronto, Ontario"
494,"Livermore, CA"
495,Philippines
496,"Mountain View, CA"
497,greasy creek/tellico plains
498,Chattanooga
499,"Washington, DC"
500,A Place In My Mind
501,"New Mexico, USA"
502,"Swampscott, MA"
503,The OC
504,"Chicago, IL"
505,Silicon Valley
506,New Zealand
507,"Spokane, Washington"
508,western N.Y.
509,"Salt Lake City, Utah"
510,"Wichita Falls, Texas"
511,SF
512,"Wrightwood, CA"
513,"Mississauga, Ontario"
514,👽
515,"Slayton, MN. 56172"
516,United States
517,"Halifax, Nova Scotia"
518,Central Virginia
519,Planet Erf
520,"Stillwater, OK"
521,my head
522,Blue dot in a Red state 
523,"Connecticut, USA"
524,UCF
525,"Wisconsin, USA"
526,America
527,#NETX
528,Hell
529,"Ohio, USA"
530,"New York, NY"
531,hiding on Pluto
532,"Riceville, Iowa"
533,"Oklahoma City, OK"
534,"Bogor, Jawa Barat"
535,"Manhattan, NY"
536,Bangalore
537,"Toronto, Ontario"
538,"Oklahoma City, OK"
539,"Omaha, NE"
540,"Texas, USA"
541,"Bellingham, WA"
542,"Columbus, OH"
543,"Seattle, WA"
544,"Washington, USA"
545,"Columbus, OH"
546,Dark Side of the Moon
547,US
548,USA
549,Toronto
550,"Washington, USA"
551,space time 
552,"North Carolina, USA"
553,"Oklahoma City, OK"
554,"Webster, NY"
555,boston
556,"here, there, everywhere"
557,US
558,"Yaggera Land (Brisbane, AU)"
559,"Custer County, Nebraska "
560,United States
561,"Washington, DC"
562,"Idaho, USA"
563,Los Angeles
564,Rep. Dominicana
565,"Distrito Federal, México"
566,United States
567,"Tempe, AZ"
568,"Gatineau, Québec"
569,Apple valley ca
570,"Chertsey, South East"
571,"Harrisburg, PA"
572,NYC - Boston - Chicago - SF
573,Illinois
574,"Montana, USA"
575,Canada
576,Colorado
577,"Providence, RI"
578,United States
579,"Toronto, Ontario"
580,"San Francisco, CA"
581,"Milwaukee, WI"
582,"Elizabeth, NJ"
583,New Lebanon
584,"New York, NY"
585,TORONTO • CANADA
586,"Indianapolis, IN"
587,"Houston, TX"
588,US
589,Washington
590,WI/ WV
591,"Cornell University, University of Toronto"
592,"Tucson, AZ"
593,United States
594,Illinois
595,Zebulon
596,"Kansas City, MO"
597,"Ellicottville, NY"
598,"Texas, USA"
599,鹿児島
600,UK and the Philippines
601,ARCTIC
602,SOMEWHERE IN TIME. USA
603,"New York, USA"
604,"Washington, DC"
605,", NJ"
606,"Lafayette, LA"
607,"Columbus, OH"
608,"Denver, CO"
609,Bowling Green Ky
610,"Dallas, TX"
611,"Columbus, Ohio"
612,Minnesota 
613,United States
614,"Wolcott, CT"
615,"NoVA, USA"
616,"Brooklyn, NY"
617,"Vincy|| Boston, MA"
618,Denver
619,"Texas, USA"
620,"boston, ma & lbts, fl"
621,"Labelle, FL"
622,"Lafayette, LA"
623,"South Carolina, USA"
624,Denver
625,"Illinois, USA"
626,"Bostonish, MA"
627,Perak-Petaling Jaya-Makkah ✈✈✈
628,"California, USA"
629,"New Jersey, USA"
630,?
631,aurora co 
632,"Texas, USA"
633,"Washington, DC"
634,"Santa Clara, CA"
635,"Costa Mesa, CA"
636,"Houston, Texas"
637,"Atlanta, GA"
638,"Portland, OR"
639,"El Monte, CA"
640,"Huntington Beach, CA"
641,"Westminster, CO"
642,"Virginia, USA"
643,nyc.347
644,"Winnipeg, Manitoba"
645,"Rochdale, England"
646,Indonesia
647,"Oshawa, Ontario"
648,"Newtown Square, PA"
649,"Apex, NC"
650,washington dc
651,St. Anthony ❤
652,CLE 
653,Kadohadacho Caddoan Land
654,Hill Country-Texas
655,"Central Java, Indonesia"
656,"California, USA"
657,Fly Over Nation
658,"Washington, DC"
659,hell
660,"Asbury Park, NJ"
661,"London, Sverige & China "
662,Lincoln Nebraska
663,I unfollow if you do!  NO List
664,"Islamabad, Pakistan"
665,Jakarta 🇮🇩
666,"Richmond, VA"
667,"New York, USA"
668,"Reno, "
669,"Montreal, Canadia"
670,"Dublin City, Ireland"
671,"Arkansas, United States"
672,Utopia
673,Yogyakarta
674,"Bakersfield, CA"
675,Shah Alam
676,Child of the most high GOD
677,Yellow City
678,"Fayetteville, GA"
679,Los Angeles
680,"Cleveland, TN"
681,"Cincinnati, OH"
682,"Finch Hatton, QLD"
683,New York/Bengaluru
684,🇲🇽
685,"Eureka, CA"
686,"Blair, NE"
687,"New York, NY"
688,"Boston, MA"
689,AZ
690,"NoVA, USA"
691,Earth
692,"Minneapolis, MN"
693,"Vinings, GA"
694,さむいとこ
695,"Batesville, AR"
696,Team USA
697,"Kalaoa, HI"
698,OZ
699,manchester
700,Just me and myself
701,North Jersey
702,"Ohio, USA"
703,USA
704,beyond the scope of normalcy
705,Los Angeles
706,"Tipp City, OH"
707,"Columbus, OH"
708,"Maryland, USA"
709,"San Diego, CA"
710,"Maryland, USA"
711,Middle Tennessee
712,São Luis
713,sih n mandy 💗
714,America
715,"Los Angeles, CA"
716,"Kuala Lumpur, Wilayah Persekut"
717,"Baton Rouge, LA"
718,Merica
719,"Burr Ridge, IL"
720,"Vail, CO"
721,The Lost City of Atlantis
722,Texas
723,"Waterloo, IA"
724,"Riverside, CA"
725,"Wichita, KS"
726,"Toledo, OH"
727,"Arizona, USA"
728,Earth
729,DC/AL
730,Canada
731,Penn State
732,"Bryan, TX"
733,"Port Place, Nanaimo, BC"
734,California
735,"Rockford, IL"
736,"Washington, DC"
737,occupied Lenape territory
738,Western N.Y 
739,illinois wesleyan university
740,"St Joseph, MO"
741,Long Beach
742,Honduras
743,Norfolk
744,"Houston, TX"
745,"King County, Washington, USA"
746,"Washington, DC"
747,"St Peter, MN"
748,"Wichita, Kansas"
749,Florida
750,"Los Angeles, CA"
751,"Tallahassee, FL"
752,"Alberta, Canada"
753,"God's Heart, Throne Room"
754,"Tallahassee, FL"
755,World
756,World
757,"Tallahassee, FL"
758,Scotland
759,"Georgia, USA"
760,"Pennsylvania, USA"
761,"Nova Scotia, Canada"
762,￣_ゝ￣)ﾉ多摩川と相模湾の狭間
763,"iPhone: 37.894020,-122.484962"
764,"Kings Park, NY"
765,"Florida, USA"
766,Wales
767,"Los Angeles, California"
768,Eldorado
769,"Overland Park, KS"
770,"Ohio, USA"
771,"Louisville, Kentucky"
772,"Liaoning, People's Republic of China"
773,"Shepherdstown, WV"
774,Waco
775,"Florida, USA"
776,ASEAN 
777,"Pennsylvania, USA"
778,"Boise, ID"
779,IHOP
780,Los Angeles
781,"Florida, USA"
782,"Nevada, USA"
783,"Englewood,Colorado"
784,"Houston, TX (and well beyond)"
785,"New Orleans, Baton Rouge"
786,"San Francisco, CA"
787,Cleveland middle and high schools
788,Netherlands
789,"Putrajaya, Putrajaya Federal Territory"
790,U of North Carolina
791,Lives on Earth
792,Pullman
793,"Lyndhurst, OH"
794,"Winnipeg, Manitoba"
795,"El Paso, TX"
796,Singapore
797,Long Island
798,"Ashland, OR, USA"
799,"Belmont, NC"
800,"Columbus, OH"
801,"Illinois, USA"
802,"Galveston, TX"
803,ssamelpan@gmail.com
804,"London, Airstrip One (Oceania)"
805,"California, USA"
806,Clt
807,Out here slangin dick
808,Baton Rouge LA
809,United States
810,"Temecula, CA"
811,"(Conway, Arkansas)"
812,"Corpus Christi, TX"
813,"South Carolina, USA"
814,"Palo Alto, CA"
815,"Houston, TX"
816,"Brooklyn Center, MN"
817,"Massachusetts, USA"
818,"Florianópolis, Brasil"
819,rabat
820,Los Angeles
821,United States
822,"Hackensack, NJ"
823,"Omaha, NE"
824,my joints are unlit
825,Toronto
826,Albuquerque
827,"Mississauga, Ontario"
828,"Port Clinton, OH"
829,"Portland, Oregon"
830,texas
831,"Research Triangle Park, NC"
832,"Ashland, OR, USA"
833,"Salt Lake City, Utah"
834,san francisco
835,"Austin, TX"
836,"Indiana, US"
837,"Alberta, Canada"
838,St. Augustine FL
839,United States
840,"Menomonee Falls, WI"
841,"Fort Myers, FL"
842,"Houston, TX, USA"
843,"Ohio, USA"
844,Broken Hill - Toowoomba
845,"Minneapolis, MN"
846,501.
847,"Oklahoma, USA"
848,"San Diego, CA"
849,crying with alma at csub
850,"Portland, OR"
851,Laois
852,USA
853,USA
854,The greatest country on Earth
855,"Home@surrey,bc"
856,"Annapolis, MD"
857,United States
858,United States
859,"Columbus, GA"
860,"Olathe, KS"
861,"San Antonio, TX"
862,"Dallas, TX"
863,Ind
864,Grey Sloan Memorial 
865,"Portland, OR"
866,Global
867,#Cleveland #Ohio  
868,Vallbhipur Gujrat India
869,USA
870,"ڈیرہ غازی خان, پاکستان"
871,"Bridge City, TX"
872,"Virginia Beach, VA"
873,kuala lumpur
874,"Irvine, CA"
875,"Los Angeles, CA"
876,"Omaha, Neb"
877,"Golconda, il"
878,Eastern Washington
879,Somewhere In The Woods
880,"Warwick, RI"
881,In Someone's Basement
882,West Virginia
883,Eastern Washington
884,"Brooklyn,NY"
885,"Cedar Falls, Iowa"
886,"Denver, CO"
887,"Red Lake, ON via NB and AB"
888,earth
889,United States
890,schrödiger's cat's box
891,"Stockton, California"
892,"New Haven, CT"
893,8th Circle of Hell 
894,"Denver, CO"
895,Houston
896,USA
897,"Nairobi,Kenya"
898,中国杭州
899,exo twice 
900,Maine
901,"Toledo, OH"
902,wadu
903,United States
904,"Manila, Philippines"
905,"Boston, MA, USA"
906,"New Orleans, LA"
907,Colombia
908,bitch I'm not friendly
909,philly
910,"ÜT: 32.336484,-110.984166"
911,"New Orleans, LA"
912,"Chicago, IL"
913,401
914," New Orleans LA, Jackson, MS"
915,"Oneida, TN"
916,Toronto
917,New York City
918,"Los Angeles, CA"
919,your backyard
920,"Kampala, Uganda"
921,"Albuquerque, NM"
922,"Overland Park, KS"
923,Georgia
924,"Tyler, TX"
925,401
926,"Montrose, Houston TX"
927,"Overland Park, KS"
928,"White Bear Lake, MN"
929,Toronto
930,United States
931,FL
932,"Kentucky, USA"
933,"Cape Coral, FL"
934,Petaling Jaya
935,looking at the sky somewhere
936,"台北市, 台灣"
937,Miami 
938,Oklahoma
939,"Greenup, KY"
940, Indianapolis IN
941,United States
942,"lapta, kyrenia, north cyprus"
943,"Lansing, MI"
944,"Kingston, ON"
945,"Spokane, WA"
946,434 
947,"Charlotte, NC"
948,Q Sent Me ⭐⭐⭐Tx Patriot! 
949,#USMC #Texas #UNT #ThePoint
950,"Santiago, Chile"
951,"Huntsville, AL"
952,5sos & bts
953,"SJ, C a l i f o r n i a ♡"
954,"Tucson, AZ"
955,On a Mission
956,"Clermont, FL"
957,"Kansas City, MO"
958,"lexington, kentucky. "
959,Los Angeles
960,"Tucson, AZ"
961,"Bloomington, IN"
962,"North Carolina, USA"
963,"Oakland, CA"
964,"Lake St Louis, MO"
965,Tennessee
966,where do you think?
967,"PA, USA"
968,SE of Seattle WA
969,"Miami, FL"
970,"San Mateo County, California"
971,SoCal ... via TX
972,Bay Area
973,"Plano, TX"
974,"Detroit, MI"
975,"Washington Heights, New York"
976,"Kansas, USA"
977,🌏
978,"Minnesota, USA"
979,"Waunakee, WI"
980,United States of America
981,Earth
982,"Windsor, Ontario"
983,Ulaanbaatar and Afghanistan
984,"Nashville, TN"
985,"Eugene, OR"
986,Canada
987,"West Monroe, LA"
988,Kuala Lumpur
989,"Noida, India"
990,Trap house 
991,"San Mateo County, California"
992,"Los Angeles, CA"
993,"Boston, MA"
994,NYC
995,"Missouri, USA"
996,Wellington
997,United Kingdom
998,Ulaanbaatar and Afghanistan
999,World
1000,"Boston, MA"
1001,Bay Area 
1002,Oklahoma
1003,United States
1004,"Arkansas, USA"
1005,"Bethesda, MD"
1006,Team PijaSUN 🌺
1007,"Little Rock, Arkansas"
1008,"Escondido, CA"
1009,"Chicago, IL"
1010,"Chicago, IL"
1011,"Alexandria, VA"
1012,Going places🍦
1013,United States
1014,Earth-616
1015,🕊️ #SpiritOfAmerica 🇺🇸
1016,phils.
1017,🕊️ #SpiritOfAmerica 🇺🇸
1018,🕊️ #SpiritOfAmerica 🇺🇸
1019,United States
1020,New York City
1021,🕊️ #SpiritOfAmerica 🇺🇸
1022,🕊️ #SpiritOfAmerica 🇺🇸
1023,Knoxville
1024,🕊️ #SpiritOfAmerica 🇺🇸
1025,"Minneapolis, MN"
1026,🕊️ #SpiritOfAmerica 🇺🇸
1027,"Ontario, Canada"
1028,🕊️ #SpiritOfAmerica 🇺🇸
1029,Minnesota
1030,"Michigan, USA"
1031,Texas
1032,"Charlotte, NC"
1033,gone
1034,New Zealand
1035,"Brisbane, Australia"
1036,Caracas
1037,"Strathcona County, Alberta"
1038,"Inglewood, CA"
1039,Pinetown
1040,"Mesquite, TX"
1041,Southern USA
1042,überburbs© of Philadelphia
1043,"Maryland, USA"
1044,"Blackburn South, Melbourne"
1045,Wellington
1046,"Chur-chur, Aotearoa"
1047,"dallas, texas"
1048,"Koronadal, Philippines"
1049,United States
1050,"Illinois, USA"
1051,"Tarrytown, NY"
1052,"Florida, USA"
1053,"San Mateo County, California"
1054,Somewhere I belong
1055,"Austin, TX"
1056,"Ohio, USA"
1057,OhiO
1058,jersey
1059,"Winnipeg, MB, Canada"
1060,"Los Angeles, CA"
1061,United States
1062,"Fayetteville, GA"
1063,Atlantafornia 
1064,"Villa Park, IL"
1065,"Chicago, IL"
1066,"dallas, texas"
1067,"Pembroke, NC"
1068,Los Angeles
1069,SMtown
1070,New York
1071,"Toronto, ON"
1072,"Naples, FL"
1073,"Elizabethtown, Ontario"
1074,"Auckland, New Zealand"
1075,"427 31W Bypass STE. 203 BG, KY"
1076,"Los Angeles, CA"
1077,"Seattle, WA"
1078,Philippeville
1079,"Halifax, Nova Scotia"
1080,Simco mountain : RANGE 
1081,Epic Gamer Headquarters
1082,"Atlanta, GA"
1083,"Connecticut, USA"
1084,"Fresno, CA"
1085,"Norman, OK"
1086,"Houston, TX (and well beyond)"
1087,Mississippi Lake Ontario
1088,"Orlando, FL"
1089,"Salt Lake City, UT"
1090,"Baton Rouge, LA"
1091,Barbados
1092,"Brandenburg, KY"
1093,West Burgershire
1094,UAlbany
1095,i'm lost and my phones battery is on 5%
1096,GLOBAL
1097,"Rural Retreat, VA"
1098,"Charlotte, NC"
1099,GLOBAL
1100,"New York, NY"
1101,Ireland
1102,"Seattle, WA, Cascadia"
1103,"Manhattan, NY"
1104,ohio
1105,TX
1106,"Seattle, WA"
1107,"San Diego, CA"
1108,Cincinnati Ohio
1109,"Bristol, TN"
1110,"Toronto, Ontario"
1111,"Seattle, WA"
1112,Avenue of the (not) Righteous
1113,Teku Benga
1114,"Baltimore, MD"
1115,Seattle Grace Hospital
1116,Roaming
1117,CLE
1118,Middle America
1119,"Raleigh, NC"
1120,New Orleans
1121,"Index, WA "
1122,"Pittsburgh, PA"
1123,West Coast
1124,Charlotte 
1125,"Iligan City, Northern Mindanao"
1126,USA
1127,"Greenfield, IN"
1128,"Kuala Lumpur City, Kuala Lumpu"
1129,"Louisville, KY"
1130,"Onarga Falls, Illinois"
1131,"Manhattan, NY"
1132,Goldilocks Zone
1133,Bull City
1134,Malaysia
1135,St Louis MO
1136,usa
1137,Soro’s guest house
1138,Los Angeles
1139,Long Island. NY
1140,"Hilo, Hawaii"
1141,Boston
1142,"Fredericksburg, VA"
1143,17 | #blacklivesmatter 
1144,MY
1145,"Colorado, Texas, Georgia, NY/NJ"
1146,"Baltimore, MD"
1147,Colorado
1148,Northern New Jersey
1149,"Oporto, Portugal"
1150,"Atlanta, GA"
1151,Boston 
1152,Kazakhstan
1153,"New Delhi, India"
1154,"Oakville, Ontario, Canada"
1155,"Baltimore, MD"
1156,twitter
1157,California
1158,twitter
1159,Brazil
1160,"Oregon, USA"
1161,대한민국
1162,"39,000 ft"
1163,"Massachusetts, USA"
1164,"New York, USA"
1165,"Twin Cities, Minnesota"
1166,Wherever the tacos are
1167,"England, United Kingdom"
1168,"Colleyville, TX"
1169,"Ontario, Canada"
1170,"ÜT: -22.900666,-43.120187"
1171,ICU 
1172,"Germantown, MD"
1173,South Australia
1174,"Chicago, IL"
1175,Indianapolis area
1176,"Pennsylvania, USA"
1177,203
1178,"Santa Monica, CA"
1179,"Ōtautahi, Aotearoa"
1180,"ÜT: -22.900666,-43.120187"
1181,"Charlotte, NC"
1182,"Fort Lauderdale, FL"
1183,"Charlotte, NC"
1184,"Stockton, CA"
1185,"Cincinnati, OH"
1186,"Queens, New York"
1187,"Birmingham, AL"
1188,"Houston, TX"
1189,"Sydney, Australia"
1190,PLANET EARTH
1191,United States
1192,"Louisiana, USA"
1193,trying to kill the moon
1194,On a Mission
1195,"Tulsa, Oklahoma"
1196,"New Delhi, India"
1197,🇹🇹
1198,Seattle
1199,"Orange County, CA"
1200,"Naples, FL"
1201,"Tampa, Florida"
1202,Chicago
1203,United States
1204,tokyo
1205,"New Delhi, India"
1206,Florida
1207,"Scotland, United Kingdom"
1208,Lake Ballinger
1209,"Texas, USA"
1210,Madinah 🕌
1211,"Denver, Colorado, USA"
1212,El Paso
1213,World
1214,"New York, NY"
1215,USA
